name,rate,vcpu,memory,storage,network
m6id.16xlarge,4.0269,64,256 GiB,2 x 1900 NVMe SSD,25000 Megabit
m6id.24xlarge,6.0403,96,384 GiB,4 x 1425 NVMe SSD,37500 Megabit
m6id.32xlarge,8.0538,128,512 GiB,4 x 1900 NVMe SSD,
m6id.metal,8.0538,128,512 GiB,4 x 1900 NVMe SSD,50000 Megabit
c7g.medium,0.0354,1,2 GiB,EBS Only,Up to 12500 Megabit
c7g.large,0.0708,2,4 GiB,EBS Only,Up to 12500 Megabit
c7g.xlarge,0.1416,4,8 GiB,EBS Only,Up to 12500 Megabit
c7g.2xlarge,0.2832,8,16 GiB,EBS Only,Up to 15 Gigabit
c7g.4xlarge,0.5664,16,32 GiB,EBS Only,Up to 15 Gigabit
c7g.8xlarge,1.1328,32,64 GiB,EBS Only,15 Gigabit
c7g.12xlarge,1.6992,48,96 GiB,EBS Only,22500 Megabit
c7g.16xlarge,2.2656,64,128 GiB,EBS Only,30 Gigabit
c7g.metal,2.2656,64,128 GiB,EBS Only,30 Gigabit
c7gd.medium,0.0450,1,2 GiB,1 x 59 NVMe SSD,Up to 12500 Megabit
c7gd.large,0.0900,2,4 GiB,1 x 118 NVMe SSD,Up to 12500 Megabit
c7gd.xlarge,0.1799,4,8 GiB,1 x 237 NVMe SSD,Up to 12500 Megabit
c7gd.2xlarge,0.3598,8,16 GiB,1 x 475 NVMe SSD,Up to 15 Gigabit
c7gd.4xlarge,0.7197,16,32 GiB,1 x 950 NVMe SSD,Up to 15 Gigabit
c7gd.8xlarge,1.4394,32,64 GiB,1 x 1900 NVMe SSD,15 Gigabit
c7gd.12xlarge,2.1590,48,96 GiB,2 x 1425 NVMe SSD,22500 Megabit
c7gd.16xlarge,2.8787,64,128 GiB,2 x 1900 NVMe SSD,30 Gigabit
c7gd.metal,2.8787,64,128 GiB,2 x 1900 NVMe SSD,30 Gigabit
c7i.large,0.0875,2,4 GiB,EBS Only,
c7i.xlarge,0.1749,4,8 GiB,EBS Only,Up to 12500 Megabit
c7i.2xlarge,0.3499,8,16 GiB,EBS Only,Up to 12500 Megabit
c7i.4xlarge,0.6998,16,32 GiB,EBS Only,Up to 12500 Megabit
c7i.8xlarge,1.3995,32,64 GiB,EBS Only,12500 Megabit
c7i.12xlarge,2.0993,48,96 GiB,EBS Only,18750 Megabit
c7i.16xlarge,2.7990,64,128 GiB,EBS Only,25000 Megabit
